key,ylat,ylon,xlat,xlon,rssi,snr,freq,datarate,valid,distance
0,41.748064335275835,-73.65957616123364,41.73457249840906,-73.69209059361106,-80,11.800000190734863,904.0999755859375,SF9BW125,True,3086.7832673508183
0,41.748064335275835,-73.65957616123364,41.765272324425915,-73.63363205836289,-83,11.5,904.0999755859375,SF9BW125,True,2879.681278803986
0,41.748064335275835,-73.65957616123364,41.728785271725236,-73.7058095561649,-91,11.0,904.0999755859375,SF9BW125,True,4394.474207429609
1,38.22912943816085,21.76242813950292,38.22087143978757,21.794480257389644,-106,1.2000000476837158,867.9000244140625,SF12BW125,True,2946.592328392568
1,38.22912943816085,21.76242813950292,38.194222299436085,21.723212824364328,-109,-0.20000000298023224,867.9000244140625,SF12BW125,True,5177.35766157591
1,38.22912943816085,21.76242813950292,38.21645510338653,21.751417086765994,-111,3.200000047683716,867.9000244140625,SF12BW125,True,1706.2855903974305
2,37.56966228478322,-77.48276335946383,37.57364449249086,-77.48738846290212,-100,1.0,905.0999755859375,SF9BW125,True,601.8540354227595
2,37.56966228478322,-77.48276335946383,37.56732097972018,-77.47934624748733,-104,0.20000000298023224,905.0999755859375,SF9BW125,True,398.0973297832111
2,37.56966228478322,-77.48276335946383,37.562790512919115,-77.4725709029087,-107,-5.800000190734863,905.0999755859375,SF9BW125,True,1179.3608867775738
3,51.91209266608244,8.411511435131075,51.904937103565594,8.41458894956945,-116,-0.800000011920929,867.2999877929688,SF12BW125,True,823.1941523347878
3,51.91209266608244,8.411511435131075,51.99931022805745,8.511900355632164,-123,-2.200000047683716,867.2999877929688,SF12BW125,True,11890.280296163548
3,51.91209266608244,8.411511435131075,52.01794946766221,8.504811552713887,-123,-3.200000047683716,867.2999877929688,SF12BW125,True,13394.422592110104
4,29.70155637517261,-98.10528892706627,29.70315637494918,-98.15285270741153,-90,3.200000047683716,904.2999877929688,SF9BW125,True,4597.404996620948
4,29.70155637517261,-98.10528892706627,29.699119303644277,-98.11095363725518,-94,8.800000190734863,904.2999877929688,SF9BW125,True,610.5706124554205
4,29.70155637517261,-98.10528892706627,29.695727284408104,-98.11676264915297,-113,0.800000011920929,904.2999877929688,SF9BW125,True,1283.8618982935122
5,43.07905449129924,25.650673731173683,43.07905449129924,25.650673731173683,-103,2.0,868.5,SF12BW125,True,0.0
5,43.07905449129924,25.650673731173683,43.08137973139184,25.620655886232086,-105,2.0,868.5,SF12BW125,True,2451.6218476208937
5,43.07905449129924,25.650673731173683,43.08197566870488,25.547432065309575,-115,0.800000011920929,868.5,SF12BW125,True,8391.193347695755
6,44.463202497700685,26.126733065274916,44.45556458995625,26.16927434418344,-95,2.0,867.2999877929688,SF12BW125,True,3481.476698422664
6,44.463202497700685,26.126733065274916,44.50312528768332,26.050487472898258,-96,2.0,867.2999877929688,SF12BW125,True,7502.9579344515605
6,44.463202497700685,26.126733065274916,44.55786753265221,26.170049350643342,-96,2.0,867.2999877929688,SF12BW125,True,11072.510118751934
7,38.74713080830455,-3.132044136021576,38.75325737058353,-3.1342517283869906,-113,5.199999809265137,868.5,SF12BW125,True,707.6314303102876
7,38.74713080830455,-3.132044136021576,38.767906719736494,-3.1097656629534023,-121,-2.200000047683716,868.5,SF12BW125,True,3011.4223777360894
7,38.74713080830455,-3.132044136021576,38.76484932011189,-3.139539073579545,-121,-3.200000047683716,868.5,SF12BW125,True,2074.6335731274316
8,39.88394100756647,-86.0537163688869,39.88784606440343,-86.054528392935,-126,-12.5,904.2999877929688,SF9BW125,True,439.71578899929347
8,27.99598202850037,-82.44307917624695,28.004385818798742,-82.44036972109036,-90,11.0,905.0999755859375,SF9BW125,True,971.5854530874458
8,39.26339044315832,-76.79335499375719,39.26039991194442,-76.79064267025174,-105,-1.5,904.9000244140625,SF9BW125,True,406.3335792980127
9,28.03192072458165,-81.91038274951566,27.966515581565567,-81.918755403463,-120,-3.0,904.2999877929688,SF9BW125,True,7319.039140312146
9,28.03192072458165,-81.91038274951566,28.03427929914223,-81.9359609905581,-120,-3.0,904.2999877929688,SF9BW125,True,2524.1469101611874
9,28.03192072458165,-81.91038274951566,28.00893146589268,-81.90913316958051,-120,-2.0,904.2999877929688,SF9BW125,True,2559.233593311556
10,34.16069770548832,-118.94467914520258,34.18677960874806,-118.9684120389433,-80,8.0,904.7000122070312,SF9BW125,True,3630.1471045400176
10,34.16069770548832,-118.94467914520258,34.16384786625047,-118.96212276758139,-87,12.0,904.7000122070312,SF9BW125,True,1642.7401121314622
10,34.16069770548832,-118.94467914520258,34.16603658427877,-118.9377512695778,-98,4.0,904.7000122070312,SF9BW125,True,871.0488819225387
11,37.443959907477876,116.40428956894482,37.43676301590372,116.38420749628834,-97,15.199999809265137,487.29998779296875,SF9BW125,True,1945.230570543877
11,37.443959907477876,116.40428956894482,37.43465730789726,116.3931695857809,-108,2.0,487.29998779296875,SF9BW125,True,1426.1342899187207
11,37.443959907477876,116.40428956894482,37.42412063720545,116.43796390267647,-109,9.800000190734863,487.29998779296875,SF9BW125,True,3702.283359477136
12,-33.981921062704764,18.710227146764144,-33.97758012778813,18.706350067964408,-111,2.0,868.5,SF12BW125,True,600.6593700281085
12,-33.981921062704764,18.710227146764144,-33.98870687127436,18.716341086916835,-111,1.5,868.5,SF12BW125,True,941.86669744929
12,-33.981921062704764,18.710227146764144,-33.98680600011015,18.71170530700489,-114,1.2000000476837158,868.5,SF12BW125,True,560.0181544900842
13,38.23640008500161,-85.71901051763936,38.25782099947069,-85.74531554372196,-90,-1.2000000476837158,904.5,SF9BW125,True,3309.1204933912904
13,38.23640008500161,-85.71901051763936,38.24915644366695,-85.73130419884825,-103,1.2000000476837158,904.5,SF9BW125,True,1778.9521970928508
13,38.23640008500161,-85.71901051763936,38.19651089115209,-85.7328651521194,-104,-8.199999809265137,904.5,SF9BW125,True,4597.667821875258
14,22.867534542871905,121.14370611738164,22.884404123151686,121.12115467761025,-106,10.5,924.4000244140625,SF9BW125,True,2975.9946826772657
14,22.867534542871905,121.14370611738164,22.863881197506352,121.11761619093707,-110,7.5,924.4000244140625,SF9BW125,True,2703.791582706696
14,22.867534542871905,121.14370611738164,22.79474895497929,121.06532866761,-112,4.5,924.4000244140625,SF9BW125,True,11402.72377118429
15,27.988212813099434,-81.7985859928259,27.9537338762378,-81.88998034607685,-95,1.7999999523162842,904.9000244140625,SF9BW125,True,9759.999757847176
15,27.988212813099434,-81.7985859928259,27.982652322527322,-81.78751682925088,-106,6.800000190734863,904.9000244140625,SF9BW125,True,1250.467707950645
15,27.988212813099434,-81.7985859928259,27.97838893070603,-81.93337185105196,-107,7.199999809265137,904.9000244140625,SF9BW125,True,13280.250601245103
16,22.563218010603045,114.54277942101052,22.471102414137754,114.4863435160236,-99,9.199999809265137,487.70001220703125,SF9BW125,True,11769.454140062435
16,22.563218010603045,114.54277942101052,22.526480861640295,114.56366902904851,-101,11.199999809265137,487.70001220703125,SF9BW125,True,4614.0550266421
16,22.563218010603045,114.54277942101052,22.522701529122504,114.50800482921767,-105,8.199999809265137,487.70001220703125,SF9BW125,True,5749.035136486338
17,50.086804967229654,8.582774782163883,50.131308759469135,8.48949139553731,-112,-1.0,868.0999755859375,SF12BW125,True,8291.045764340663
17,50.086804967229654,8.582774782163883,50.08383844315758,8.628751084906877,-116,-14.199999809265137,868.0999755859375,SF12BW125,True,3296.8558755135136
17,50.086804967229654,8.582774782163883,50.15693861585697,8.475980285489904,-116,-5.199999809265137,868.0999755859375,SF12BW125,True,10898.899662222077
18,33.89651573058928,-117.46870389824551,33.894427698938145,-117.47562779105205,-93,10.199999809265137,904.9000244140625,SF9BW125,True,679.9324903826019
18,33.89651573058928,-117.46870389824551,33.86300548381186,-117.6210112760017,-107,-6.0,904.9000244140625,SF9BW125,True,14545.649001551326
18,33.89651573058928,-117.46870389824551,33.91229054597684,-117.47079959601422,-110,3.0,904.9000244140625,SF9BW125,True,1764.7124861977263
19,38.91614809951987,-77.09694580695934,38.896035749345046,-77.07243743964749,-94,8.199999809265137,904.9000244140625,SF9BW125,True,3082.012735859393
19,38.91614809951987,-77.09694580695934,38.85923886310852,-77.06921892072896,-101,-7.199999809265137,904.9000244140625,SF9BW125,True,6767.793108933078
19,38.91614809951987,-77.09694580695934,38.87478892731245,-77.02020581120708,-107,-6.199999809265137,904.9000244140625,SF9BW125,True,8078.150676659995
